"Id","ETS Forecasts","ARIMA Forecasts","Prophet Forecasts"
1,2.61789198071984e-05,0,-0.427711105432901
2,2.61789198071984e-05,0,-0.652499716979945
3,2.61789198071984e-05,0,1.00314487775752
4,2.61789198071984e-05,0,1.90816635900496
5,2.61789198071984e-05,0,3.43711862981719
6,2.61789198071984e-05,0,2.99631559789359
7,2.61789198071984e-05,0,3.81110274386734
8,2.61789198071984e-05,0,4.22383472192317
9,2.61789198071984e-05,0,4.41338291604119
10,2.61789198071984e-05,0,6.28569466708641
11,2.61789198071984e-05,0,7.20836893560125
12,2.61789198071984e-05,0,8.56037835804455
13,2.61789198071984e-05,0,7.75798380667187
14,2.61789198071984e-05,0,8.04162351551074
15,2.61789198071984e-05,0,7.77337331633445
16,2.61789198071984e-05,0,7.15581772264275
17,2.61789198071984e-05,0,8.12187244322667
18,2.61789198071984e-05,0,8.06854446405606
19,-0.00234464595871936,0,0.574196038977179
20,-0.00234464595871936,0,-1.43260725147677
21,-0.00234464595871936,0,-1.37196940743259
22,-0.00234464595871936,0,-0.859638232233432
23,-0.00234464595871936,0,-0.75226213480033
24,-0.00234464595871936,0,-1.46724746300035
25,-0.00234464595871936,0,-1.12115781347117
26,-0.00234464595871936,0,-0.204809388628614
27,-0.00234464595871936,0,-2.02195759176684
28,-0.00234464595871936,0,-1.81632417059784
29,-0.00234464595871936,0,-1.19805956954295
30,-0.00234464595871936,0,-1.01691170617066
31,-0.00234464595871936,0,-1.68251486895498
32,-0.00234464595871936,0,-1.30323830115776
33,-0.00234464595871936,0,-0.361730709196401
34,-0.00234464595871936,0,-2.15403835745263
35,-0.00234464595871936,0,-1.91702944093838
36,-0.00234464595871936,0,-1.25520425754442
37,0.975142047789829,1.01811733454461,0.759042194269465
38,1.01256944479228,1.01811733454461,-0.689640388807566
39,1.04999684179473,1.01811733454461,0.024295059246616
40,1.08742423879718,1.01811733454461,0.0766050521939163
41,1.12485163579964,1.01811733454461,-0.306571167922323
42,1.16227903280209,1.01811733454461,-0.642385444223882
43,1.19970642980454,1.01811733454461,-0.217830891312824
44,1.23713382680699,1.01811733454461,-0.256084088556807
45,1.27456122380945,1.01811733454461,-1.15942243170678
46,1.3119886208119,1.01811733454461,0.00331766131916611
47,1.34941601781435,1.01811733454461,0.403016398863575
48,1.3868434148168,1.01811733454461,0.26524064982811
49,1.42427081181925,1.01811733454461,0.0764383893519311
50,1.46169820882171,1.01811733454461,0.557117090076148
51,1.49912560582416,1.01811733454461,0.495101362026799
